Date,Close
2023-01-02,18024.83570765056
2023-01-03,18017.922492592003
2023-01-04,18050.306919497038
2023-01-05,18126.45841231744
2023-01-06,18114.750743581273
2023-01-09,18103.043895733812
2023-01-10,18182.004536509183
2023-01-11,18220.376272966827
2023-01-12,18196.90255367008
2023-01-13,18224.03055584938
2023-01-16,18200.859671208756
2023-01-17,18177.573183530243
2023-01-18,18189.671297108544
2023-01-19,18094.007284875654
2023-01-20,18007.761393250003
2023-01-23,17979.647016787952
2023-01-24,17929.005460771234
2023-01-25,17944.717827400997
2023-01-26,17899.316623624934
2023-01-27,17828.70143855817
2023-01-30,17901.983877004248
2023-01-31,17890.69506197992
2023-02-01,17894.071472214317
2023-02-02,17822.834062903647
2023-02-03,17795.614926677386
2023-02-06,17801.16105616288
2023-02-07,17743.611377291763
2023-02-08,17762.39627820905
2023-02-09,17732.364343713107
2023-02-10,17717.779656223443
2023-02-13,17687.694325611974
2023-02-14,17780.30823483742
2023-02-15,17779.633373600525
2023-02-16,17726.74782715273
2023-02-17,17767.875072757888
2023-02-20,17706.83289025934
2023-02-21,17717.276070009575
2023-02-22,17619.292563815587
2023-02-23,17552.883261370665
2023-02-24,17562.726323164123
2023-02-27,17599.64965216389
2023-02-28,17608.21806622339
2023-03-01,17602.435652103977
2023-03-02,17587.380467324514
2023-03-03,17513.45436780614
2023-03-06,17477.462157386406
2023-03-07,17454.430218838417
2023-03-08,17507.286330149363
2023-03-09,17524.467244627787
2023-03-10,17436.31523685965
2023-03-13,17452.51943532939
2023-03-14,17433.265321308572
2023-03-15,17399.419221293276
2023-03-16,17430.00303573532
2023-03-17,17481.553011860116
2023-03-20,17528.117017815926
2023-03-21,17486.156141654796
2023-03-22,17470.695522862236
2023-03-23,17487.258694432414
2023-03-24,17536.03595078853
2023-03-27,17512.077238896265
2023-03-28,17502.794290063073
2023-03-29,17447.477541362772
2023-03-30,17387.66721015874
2023-03-31,17428.29350127845
2023-04-03,17496.105502706992
2023-04-04,17492.504996627973
2023-04-05,17542.681641522577
2023-04-06,17560.763442774958
2023-04-07,17528.507455044703
2023-04-10,17546.57723532012
2023-04-11,17623.47906364342
2023-04-12,17621.68776168792
2023-04-13,17699.919944478625
